,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.0604,1.2771,1.3178
5_15m_2022_20223,NA,1.2673,1.4758
25_40m_2014_2015,NA,NA,1.6275
