,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.0325,1.191,1.6758
5_15m_2022_20223,NA,1.1003,1.6254
25_40m_2014_2015,NA,NA,1.5004
