,5_15m_2022_20223,25_40m_2014_2015,25_40m_2022_20223
5_15m_2014_2015,1,1.0025,1.0012
5_15m_2022_20223,NA,1.0023,1.0018
25_40m_2014_2015,NA,NA,1.0004
