,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.1755,1.5203,1.8499
5_15m_2022_20223,NA,1.3656,1.735
25_40m_2014_2015,NA,NA,1.3408
