,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.0361,1.2476,1.345
5_15m_2022_20223,NA,1.2648,1.2989
25_40m_2014_2015,NA,NA,1.3114
