,5_15m_2022_20223,25_40m_2014_2015,25_40m_2022_20223
5_15m_2014_2015,1.0067,1.3276,1.4839
5_15m_2022_20223,NA,1.3659,1.5176
25_40m_2014_2015,NA,NA,1.0533
