,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.301,1.7338,1.9445
5_15m_2022_20223,NA,1.4113,1.7519
25_40m_2014_2015,NA,NA,1.4276
