,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.0872,1.2434,1.284
5_15m_2022_20223,NA,1.2878,1.2629
25_40m_2014_2015,NA,NA,1.1595
