,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.1003,1.1904,1.3975
5_15m_2022_20223,NA,1.1643,1.3084
25_40m_2014_2015,NA,NA,1.2168
