,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.0798,1.4481,1.7736
5_15m_2022_20223,NA,1.4363,1.7713
25_40m_2014_2015,NA,NA,1.6217
