,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.0002,1.0007,1.0403
5_15m_2022_20223,NA,1.0004,1.0212
25_40m_2014_2015,NA,NA,1.008
