,5_15m_2022_20223,25_40m_2014_2015,25_40m_2022_20223
5_15m_2014_2015,1.2003,1.0905,1.2647
5_15m_2022_20223,NA,1.3778,1.4897
25_40m_2014_2015,NA,NA,1.0556
