,5_15m_2022_20223,25_40m_2014_2015,25_40m_2022_20223
5_15m_2014_2015,1.0021,1.0287,1.0105
5_15m_2022_20223,NA,1.0414,1.0126
25_40m_2014_2015,NA,NA,1.0141
