,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.1927,1.2131,1.3333
5_15m_2022_20223,NA,1.3077,1.2409
25_40m_2014_2015,NA,NA,1.2605
