,5_15m_2022_20223,25_40m_2014_2015,25_40m_2022_20223
5_15m_2014_2015,1.0418,1.1731,1.3007
5_15m_2022_20223,NA,1.1873,1.4678
25_40m_2014_2015,NA,NA,1.463
