,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.0266,1.557,1.7105
5_15m_2022_20223,NA,1.6224,1.7442
25_40m_2014_2015,NA,NA,1.0837
