,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.251,1.2452,1.6011
5_15m_2022_20223,NA,1.6365,1.7349
25_40m_2014_2015,NA,NA,1.156
