,5_15m_2022_20223,25_40m_2014_2015,25_40m_2022_20223
5_15m_2014_2015,1.0074,1.0073,1.0198
5_15m_2022_20223,NA,1.0261,1.0329
25_40m_2014_2015,NA,NA,1.0089
