,5_15m_2022_20223,25_40m_2014_2015,5_40m_2022_20223
5_15m_2014_2015,1.1508,1.1253,1.175
5_15m_2022_20223,NA,1.1725,1.1772
25_40m_2014_2015,NA,NA,1.1524
